Priority Rank,Organization,Category,Annual Donation,Legacy Score,Confidence,Status,Next Step
1,America’s Vetdogs,Animal,500.0,39.2,0.0,Needs Research,Fill Website
2,Animal Legal Defense Fund,Animal,1000.0,39.0,0.0,Needs Research,Fill Website
3,Corridor Rescue,Animal,1000.0,39.0,0.0,Needs Research,Fill Website
4,Project K-9 Hero,Animal,400.0,38.2,0.0,Needs Research,Fill Website
5,Astoria Cat Rescue,Animal,300.0,38.2,0.0,Needs Research,Fill Website
6,Rescue Dogs Rock,Animal,300.0,38.2,0.0,Needs Research,Fill Website
7,Guardian Angels Medical Service Dogs,Animal,250.5,38.2,0.0,Needs Research,Fill Website
8,Casey to the Rescue Dog Transit,Animal,250.0,38.2,0.0,Needs Research,Fill Website
9,Guide Dogs for the Blind,Animal,250.0,38.2,0.0,Needs Research,Fill Website
10,Three Little Pitties,Animal,250.0,38.2,0.0,Needs Research,Fill Website
11,Animal Equality,Animal,500.0,38.0,0.0,Needs Research,Fill Website
12,Animal Rescue League,Animal,500.0,38.0,0.0,Needs Research,Fill Website
13,Best Friends Animal Society,Animal,500.0,38.0,0.0,Needs Research,Fill Website
14,Farm Sanctuary,Animal,500.0,38.0,0.0,Needs Research,Fill Website
15,Feeding Pets of the Homeless,Animal,500.0,38.0,0.0,Needs Research,Fill Website
16,PETA,Animal,500.0,38.0,0.0,Needs Research,Fill Website
17,Reservation Animal Rescue,Animal,500.0,38.0,0.0,Needs Research,Fill Website
18,White Coat Waste Project,Animal,500.0,38.0,0.0,Needs Research,Fill Website
19,K9s For Warriors,Animal,200.0,37.2,0.0,Needs Research,Fill Website
20,LMN Feline Rescue,Animal,200.0,37.2,0.0,Needs Research,Fill Website
21,Last Hope K9 Rescue,Animal,200.0,37.2,0.0,Needs Research,Fill Website
22,Mutts with a Mission,Animal,200.0,37.2,0.0,Needs Research,Fill Website
23,Red Rover,Animal,200.0,37.2,0.0,Needs Research,Fill Website
24,Whispering Willows Senior Dog Sanctuary,Animal,200.0,37.2,0.0,Needs Research,Fill Website
25,Hounds in Pounds,Animal,150.0,37.2,0.0,Needs Research,Fill Website
26,Vested Interest in K9s Inc,Animal,150.0,37.2,0.0,Needs Research,Fill Website
27,Alley Cat Allies,Animal,100.0,37.2,0.0,Needs Research,Fill Website
28,Paws of Honor - K9 Rescue Drive,Animal,100.0,37.2,0.0,Needs Research,Fill Website
29,Semper K9 Assistance Dogs,Animal,100.0,37.2,0.0,Needs Research,Fill Website
30,Smiling Dog Farms,Animal,100.0,37.2,0.0,Needs Research,Fill Website
31,Animal Recovery Mission,Animal,400.0,37.0,0.0,Needs Research,Fill Website
32,Guardians of the Wild,Animal,400.0,37.0,0.0,Needs Research,Fill Website
33,International Fund for Animal Welfare (IFAW) ,Animal,400.0,37.0,0.0,Needs Research,Fill Website
34,Lady Freethinker,Animal,400.0,37.0,0.0,Needs Research,Fill Website
35,Lost Meadows Mule Refuge,Animal,400.0,37.0,0.0,Needs Research,Fill Website
36,Paws of War,Animal,400.0,37.0,0.0,Needs Research,Fill Website
37,Pawtcake Refuge,Animal,400.0,37.0,0.0,Needs Research,Fill Website
38,National Anti-Vivsection Society,Animal,350.0,37.0,0.0,Needs Research,Fill Website
39,Restless Legs Syndrome Foundation,Animal,350.0,37.0,0.0,Needs Research,Fill Website
40,World Wildlife Fund,Animal,350.0,37.0,0.0,Needs Research,Fill Website
41,Little Longears Miniature Donkey Rescue,Animal,300.0,37.0,0.0,Needs Research,Fill Website
42,Network for Animals,Animal,300.0,37.0,0.0,Needs Research,Fill Website
43,Peaceful Valley Donkey Rescue,Animal,300.0,37.0,0.0,Needs Research,Fill Website
44,Red Bell Run Foundation Inc,Animal,300.0,37.0,0.0,Needs Research,Fill Website
45,Bissell Pet Foundation,Animal,250.0,37.0,0.0,Needs Research,Fill Website
46,"Defenders of Animal Rights, Inc",Animal,250.0,37.0,0.0,Needs Research,Fill Website
47,Dharma Rescue for Cats & Dogs,Animal,250.0,37.0,0.0,Needs Research,Fill Website
48,Houston SPCA,Animal,250.0,37.0,0.0,Needs Research,Fill Website
49,MSPCA,Animal,250.0,37.0,0.0,Needs Research,Fill Website
50,Paws New England,Animal,250.0,37.0,0.0,Needs Research,Fill Website
51,Ring Dog Rescue,Animal,75.0,36.2,0.0,Needs Research,Fill Website
52,Heaths Haven Rescue & Sanctuary,Animal,200.0,36.0,0.0,Needs Research,Fill Website
53,Last Chance for Animals,Animal,200.0,36.0,0.0,Needs Research,Fill Website
54,MARA Elephant Project,Animal,200.0,36.0,0.0,Needs Research,Fill Website
55,North Shore Animal League,Animal,200.0,36.0,0.0,Needs Research,Fill Website
56,Northeast Animal Shelter/MSPCA,Animal,200.0,36.0,0.0,Needs Research,Fill Website
57,Project Precious Rescue,Animal,200.0,36.0,0.0,Needs Research,Fill Website
58,Rise for Animals,Animal,200.0,36.0,0.0,Needs Research,Fill Website
59,Second Chance Animal Services,Animal,200.0,36.0,0.0,Needs Research,Fill Website
60,The Kindness Ranch Animal Sanctuary,Animal,200.0,36.0,0.0,Needs Research,Fill Website
61,Animals’ Angels,Animal,150.0,36.0,0.0,Needs Research,Fill Website
62,Morris Animal Foundation,Animal,150.0,36.0,0.0,Needs Research,Fill Website
63,Pilots to the Rescue,Animal,150.0,36.0,0.0,Needs Research,Fill Website
64,Sweet Paws Rescue,Animal,150.0,36.0,0.0,Needs Research,Fill Website
65,Turning Pointe Donkey Rescue,Animal,150.0,36.0,0.0,Needs Research,Fill Website
66,White Wolf Sanctuary,Animal,150.0,36.0,0.0,Needs Research,Fill Website
67,Alaqua Animal Refuge,Animal,100.0,36.0,0.0,Needs Research,Fill Website
68,Humane World for Animals,Animal,100.0,36.0,0.0,Needs Research,Fill Website
69,North Valley Animal Disaster Group,Animal,100.0,36.0,0.0,Needs Research,Fill Website
70,The Seeing Eye,Animal,100.0,36.0,0.0,Needs Research,Fill Website
71,Wounded Paw Project,Animal,100.0,36.0,0.0,Needs Research,Fill Website
72,Happy Cat Inc,Animal,0.0,35.2,0.0,Needs Research,Fill Website
73,Nature Conservancy,Nature,250.0,29.0,0.0,Needs Research,Fill Website
74,Rails to Trails Conservancy,Nature,250.0,29.0,0.0,Needs Research,Fill Website
75,Cure Alzheimer’s Fund,Alzheimers,1000.0,27.0,0.0,Needs Research,Fill Website
76,Wounded Warrior Project,Veterans,100.0,26.0,0.0,Needs Research,Fill Website
77,Physicians Committee for Responsible Medicine,Science,1000.0,25.0,0.0,Needs Research,Fill Website
78,Alzheimer’s Assoc,Alzheimers,250.0,25.0,0.0,Needs Research,Fill Website
79,Heritage Foundation,Political,150.0,14.0,0.0,Needs Research,Fill Website
