Organization Name,Category,Subcategory,Approx Annual Donation,Mission Score,Efficiency Score,Transparency Score,Legacy Fit Score,Confidence Score,Tier,Missing Fields
America’s Vetdogs,Animal,Dogs,500.0,88.0,0.0,0.0,39.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Legal Defense Fund,Animal,,1000.0,85.0,0.0,0.0,39.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Corridor Rescue,Animal,,1000.0,85.0,0.0,0.0,39.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Astoria Cat Rescue,Animal,Cats,300.0,88.0,0.0,0.0,38.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Casey to the Rescue Dog Transit,Animal,Dogs,250.0,88.0,0.0,0.0,38.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Guardian Angels Medical Service Dogs,Animal,Dogs,250.5,88.0,0.0,0.0,38.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Guide Dogs for the Blind,Animal,Dogs,250.0,88.0,0.0,0.0,38.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Project K-9 Hero,Animal,Dogs,400.0,88.0,0.0,0.0,38.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Rescue Dogs Rock,Animal,Dogs,300.0,88.0,0.0,0.0,38.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Three Little Pitties,Animal,Dogs,250.0,88.0,0.0,0.0,38.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Equality,Animal,,500.0,85.0,0.0,0.0,38.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Rescue League,Animal,,500.0,85.0,0.0,0.0,38.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Best Friends Animal Society,Animal,,500.0,85.0,0.0,0.0,38.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Farm Sanctuary,Animal,,500.0,85.0,0.0,0.0,38.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Feeding Pets of the Homeless,Animal,,500.0,85.0,0.0,0.0,38.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
PETA,Animal,,500.0,85.0,0.0,0.0,38.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Reservation Animal Rescue,Animal,,500.0,85.0,0.0,0.0,38.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
White Coat Waste Project,Animal,,500.0,85.0,0.0,0.0,38.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Alley Cat Allies,Animal,Cats,100.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Hounds in Pounds,Animal,Dogs,150.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
K9s For Warriors,Animal,Dogs,200.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
