Organization Name,Category,Approx Annual Donation,Research Priority,Missing Fields Count,Missing Fields
Animal Legal Defense Fund,Animal,1000.0,9600.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Corridor Rescue,Animal,1000.0,9600.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Cure Alzheimer’s Fund,Alzheimers,1000.0,8000.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Physicians Committee for Responsible Medicine,Science,1000.0,8000.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
America’s Vetdogs,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Equality,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Rescue League,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Best Friends Animal Society,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Farm Sanctuary,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Feeding Pets of the Homeless,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
PETA,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Reservation Animal Rescue,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
White Coat Waste Project,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Recovery Mission,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Guardians of the Wild,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
International Fund for Animal Welfare (IFAW) ,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Lady Freethinker,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Lost Meadows Mule Refuge,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Paws of War,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Pawtcake Refuge,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Project K-9 Hero,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
National Anti-Vivsection Society,Animal,350.0,3360.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Restless Legs Syndrome Foundation,Animal,350.0,3360.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
World Wildlife Fund,Animal,350.0,3360.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Astoria Cat Rescue,Animal,300.0,2880.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Little Longears Miniature Donkey Rescue,Animal,300.0,2880.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Network for Animals,Animal,300.0,2880.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Peaceful Valley Donkey Rescue,Animal,300.0,2880.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Red Bell Run Foundation Inc,Animal,300.0,2880.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Rescue Dogs Rock,Animal,300.0,2880.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Guardian Angels Medical Service Dogs,Animal,250.5,2404.8,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Bissell Pet Foundation,Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Casey to the Rescue Dog Transit,Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
"Defenders of Animal Rights, Inc",Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Dharma Rescue for Cats & Dogs,Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Guide Dogs for the Blind,Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Houston SPCA,Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
MSPCA,Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Paws New England,Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Three Little Pitties,Animal,250.0,2400.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Alzheimer’s Assoc,Alzheimers,250.0,2000.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Nature Conservancy,Nature,250.0,2000.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
