Organization Name,Category,Approx Annual Donation,Research Priority,Missing Fields Count,Missing Fields
Animal Legal Defense Fund,Animal,1000.0,9600.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Corridor Rescue,Animal,1000.0,9600.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Cure Alzheimer’s Fund,Alzheimers,1000.0,8000.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Physicians Committee for Responsible Medicine,Science,1000.0,8000.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
America’s Vetdogs,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Equality,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Rescue League,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Best Friends Animal Society,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Farm Sanctuary,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Feeding Pets of the Homeless,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
PETA,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Reservation Animal Rescue,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
White Coat Waste Project,Animal,500.0,4800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Recovery Mission,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Guardians of the Wild,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
International Fund for Animal Welfare (IFAW) ,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Lady Freethinker,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Lost Meadows Mule Refuge,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Paws of War,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Pawtcake Refuge,Animal,400.0,3840.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
